tournaments.RoundRobinTournament
AIs
	lightari
	AgentP(AStarPathFinding)
	mayari
	WorkerRush(AStarPathFinding)
	CoacAI(AStarPathFinding)
	RandomAI
maps
	/home/nickadkins47/CS4900/CS4900-PA3/maps/16x16/basesWorkers16x16A.xml
iterations	100
maxGameLength	3000
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	1000	1000
preAnalysis	true
fullObservability	true
timeoutCheck	true
runGC	false
iteration	map	ai1	ai2	time	winner	crashed	timedout
13	0	2	4	906	1	-1	-1
13	0	2	5	747	0	-1	-1
13	0	3	0	375	0	-1	-1
13	0	3	1	3000	-1	-1	-1
13	0	3	2	1275	1	-1	-1
13	0	3	4	860	1	-1	-1
13	0	3	5	575	0	-1	-1
13	0	4	0	885	0	-1	-1
13	0	4	1	1745	0	-1	-1
13	0	4	2	1007	0	-1	-1
13	0	4	3	525	1	-1	-1
13	0	4	5	855	0	-1	-1
13	0	5	0	910	1	-1	-1
13	0	5	1	685	1	-1	-1
13	0	5	2	875	1	-1	-1
13	0	5	3	475	1	-1	-1
13	0	5	4	895	1	-1	-1
14	0	0	1	920	1	-1	-1
14	0	0	2	1894	1	-1	-1
14	0	0	3	380	1	-1	-1
14	0	0	4	1681	1	-1	-1
14	0	0	5	895	0	-1	-1
14	0	1	0	695	0	-1	-1
14	0	1	2	935	0	-1	-1
14	0	1	3	1445	1	-1	-1
14	0	1	4	2168	1	-1	-1
14	0	1	5	605	0	-1	-1
14	0	2	0	1328	0	-1	-1
14	0	2	1	1256	0	-1	-1
14	0	2	3	910	0	-1	-1
14	0	2	4	906	1	-1	-1
14	0	2	5	795	0	-1	-1
14	0	3	0	390	0	-1	-1
14	0	3	1	3000	-1	-1	-1
14	0	3	2	960	1	-1	-1
14	0	3	4	860	1	-1	-1
14	0	3	5	485	0	-1	-1
14	0	4	0	895	0	-1	-1
14	0	4	1	1745	0	-1	-1
14	0	4	2	982	0	-1	-1
14	0	4	3	525	1	-1	-1
14	0	4	5	775	0	-1	-1
14	0	5	0	955	1	-1	-1
14	0	5	1	640	1	-1	-1
14	0	5	2	855	1	-1	-1
14	0	5	3	500	1	-1	-1
14	0	5	4	905	1	-1	-1
15	0	0	1	933	1	-1	-1
15	0	0	2	1918	1	-1	-1
15	0	0	3	420	1	-1	-1
15	0	0	4	1694	1	-1	-1
15	0	0	5	871	0	-1	-1
15	0	1	0	585	0	-1	-1
15	0	1	2	1275	0	-1	-1
15	0	1	3	1445	1	-1	-1
15	0	1	4	2168	1	-1	-1
15	0	1	5	645	0	-1	-1
15	0	2	0	1328	0	-1	-1
15	0	2	1	1045	0	-1	-1
15	0	2	3	1035	0	-1	-1
15	0	2	4	906	1	-1	-1
15	0	2	5	844	0	-1	-1
15	0	3	0	395	0	-1	-1
15	0	3	1	3000	-1	-1	-1
15	0	3	2	1171	1	-1	-1
15	0	3	4	860	1	-1	-1
15	0	3	5	440	0	-1	-1
15	0	4	0	895	0	-1	-1
15	0	4	1	1745	0	-1	-1
15	0	4	2	1007	0	-1	-1
15	0	4	3	525	1	-1	-1
15	0	4	5	835	0	-1	-1
15	0	5	0	955	1	-1	-1
15	0	5	1	705	1	-1	-1
15	0	5	2	965	1	-1	-1
15	0	5	3	425	1	-1	-1
15	0	5	4	825	1	-1	-1
16	0	0	1	933	1	-1	-1
16	0	0	2	1945	1	-1	-1
16	0	0	3	395	1	-1	-1
16	0	0	4	1681	1	-1	-1
16	0	0	5	837	0	-1	-1
16	0	1	0	710	0	-1	-1
16	0	1	2	890	0	-1	-1
16	0	1	3	1445	1	-1	-1
16	0	1	4	2168	1	-1	-1
16	0	1	5	635	0	-1	-1
16	0	2	0	1288	0	-1	-1
16	0	2	1	2225	0	-1	-1
16	0	2	3	910	0	-1	-1
16	0	2	4	906	1	-1	-1
16	0	2	5	933	0	-1	-1
16	0	3	0	385	0	-1	-1
16	0	3	1	3000	-1	-1	-1
16	0	3	2	1420	1	-1	-1
16	0	3	4	860	1	-1	-1
16	0	3	5	495	0	-1	-1
16	0	4	0	895	0	-1	-1
16	0	4	1	1745	0	-1	-1
16	0	4	2	1002	0	-1	-1
16	0	4	3	525	1	-1	-1
16	0	4	5	735	0	-1	-1
16	0	5	0	884	1	-1	-1
16	0	5	1	725	1	-1	-1
16	0	5	2	912	1	-1	-1
16	0	5	3	475	1	-1	-1
16	0	5	4	855	1	-1	-1
17	0	0	1	870	1	-1	-1
17	0	0	2	1919	1	-1	-1
17	0	0	3	365	1	-1	-1
17	0	0	4	1351	1	-1	-1
17	0	0	5	760	0	-1	-1
17	0	1	0	585	0	-1	-1
17	0	1	2	865	0	-1	-1
17	0	1	3	1445	1	-1	-1
17	0	1	4	2920	1	-1	-1
17	0	1	5	645	0	-1	-1
17	0	2	0	1328	0	-1	-1
17	0	2	1	885	0	-1	-1
17	0	2	3	910	0	-1	-1
17	0	2	4	906	1	-1	-1
17	0	2	5	807	0	-1	-1
17	0	3	0	365	0	-1	-1
17	0	3	1	3000	-1	-1	-1
17	0	3	2	1145	1	-1	-1
17	0	3	4	860	1	-1	-1
17	0	3	5	435	0	-1	-1
17	0	4	0	895	0	-1	-1
17	0	4	1	1745	0	-1	-1
17	0	4	2	977	0	-1	-1
17	0	4	3	525	1	-1	-1
17	0	4	5	855	0	-1	-1
17	0	5	0	996	1	-1	-1
17	0	5	1	710	1	-1	-1
17	0	5	2	905	1	-1	-1
17	0	5	3	535	1	-1	-1
17	0	5	4	855	1	-1	-1
18	0	0	1	935	1	-1	-1
18	0	0	2	1815	1	-1	-1
18	0	0	3	1040	1	-1	-1
18	0	0	4	1661	1	-1	-1
18	0	0	5	767	0	-1	-1
18	0	1	0	585	0	-1	-1
18	0	1	2	1360	0	-1	-1
18	0	1	3	1445	1	-1	-1
18	0	1	4	1545	1	-1	-1
18	0	1	5	615	0	-1	-1
18	0	2	0	1231	0	-1	-1
18	0	2	1	1315	1	-1	-1
18	0	2	3	1040	0	-1	-1
18	0	2	4	906	1	-1	-1
18	0	2	5	853	0	-1	-1
18	0	3	0	370	0	-1	-1
18	0	3	1	3000	-1	-1	-1
18	0	3	2	1059	1	-1	-1
18	0	3	4	860	1	-1	-1
18	0	3	5	445	0	-1	-1
18	0	4	0	895	0	-1	-1
18	0	4	1	1745	0	-1	-1
18	0	4	2	1007	0	-1	-1
18	0	4	3	525	1	-1	-1
18	0	4	5	714	0	-1	-1
18	0	5	0	903	1	-1	-1
18	0	5	1	625	1	-1	-1
18	0	5	2	955	1	-1	-1
18	0	5	3	555	1	-1	-1
